phase	budget	seed	strategy	major	f1_micro	acc	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	bop_error_vs_uniform	relative_bop_error_vs_uniform	within_2pct_uniform_bop	probing_minus_major	probing_minus_f1	run_name
bopfix2	low	20260806	probing	0.9517792961931155	0.9066848219224714	0.9968737704637597	0.0032936616403495484	0.0030842658205449958	0.005992476306969641	4.944633758929883e-05	0.01524138596696366	True	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
bopfix2	low	20260806	inverse	0.42829122162171973	0.03359146982137993	0.8229909734220595	0.0042182676631645506	-0.5204038087508508	-0.8671008757941218	0.000974052360404301	0.30024282284087495	False	0.5234880745713958	0.8730933521010914	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_inverse_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
bopfix2	low	20260806	early	0.8685289920833866	0.7443917223560976	0.9926662618106756	0.0032296577718499667	-0.0801660382891839	-0.15630062325940408	-1.4557530910282862e-05	-0.004487227126355331	True	0.08325030410972889	0.16229309956637372	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_early_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
bopfix2	low	20260806	late	0.4890681505261631	0.038856859183374136	0.9392794418689521	0.008501630562317883	-0.45962687984640743	-0.8618354864321276	0.005257415259557634	1.6205506629244086	False	0.46271114566695243	0.8678279627390972	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_late_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
bopfix2	low	20260806	random_s29	0.4523311263981551	0.029832605933373845	0.8748296468629363	0.006535161965719672	-0.49636390397441543	-0.8708597396821278	0.0032909466629594225	1.0144045187628	False	0.49944816979496043	0.8768522159890975	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_random_s29_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
bopfix2	low	20260807	uniform	0.9217342531542783	0.848257639061406	0.9952108672471504	0.0031332340163658075	0.0	0.0	0.0	0.0	True	0.030141019035349492	0.05861271988240124	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260807_cal16_ms256_dep_e3_retry1
bopfix2	low	20260807	probing	0.9518752721896278	0.9068703589438073	0.9968801854354483	0.0031643520126164106	0.030141019035349492	0.05861271988240124	3.111799625060306e-05	0.009931590199795025	True	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
bopfix2	low	20260807	inverse	0.4298688805144097	0.03319004219275175	0.8265477188360676	0.004718259988936703	-0.49186537263986857	-0.8150675968686543	0.0015850259725708957	0.5058753876320238	False	0.522006391675218	0.8736803167510555	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_inverse_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
bopfix2	low	20260807	early	0.8573222107809906	0.7224571443040538	0.9921872772579274	0.0031296124409199272	-0.06441204237328768	-0.12580049475735222	-3.6215754458802756e-06	-0.0011558585879521657	True	0.09455306140863717	0.18441321463975346	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_early_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
bopfix2	low	20260807	late	0.42800584451397683	0.03230223877677181	0.8237094502511818	0.005565275782864183	-0.49372840864030143	-0.8159554002846342	0.0024320417664983754	0.776208145894977	False	0.5238694276756509	0.8745681201670354	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_late_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
