task	budget	seed	strategy	major	f1_micro	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	delta_major_vs_probing	delta_f1_vs_probing	relative_bop_error_vs_uniform_pct	run_name
dep	low	20260808	fisher	0.9433763208653926	0.890361419692934	0.003487373087342213	0.006243670911589505	0.012142358901259143	-0.007567934205819582	-0.014698224787550784	-0.153281575047981	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
dep	low	20260808	probefisher	0.9491970326603392	0.9016649881072278	0.0035079569566181428	0.012064382706536092	0.02344592731555295	-0.001747222410872995	-0.0033946563732569768	0.4360536489776523	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260808_cal16_dep_e3_retry1
dep	low	20260809	uniform	0.9370448236667611	0.8780626531326566	0.0032756907442583268	0.0	0.0	-0.013966893195231145	-0.02713690435181282	0.0	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260809_cal16_ms256_dep_e3_retry1
dep	low	20260809	probing	0.9510117168619923	0.9051995574844695	0.003327766179480793	0.013966893195231145	0.02713690435181282	0.0	0.0	1.5897543232292088	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260809_cal16_dep_e3_retry1
dep	low	20260809	fisher	0.9493178245073917	0.9019079973505972	0.0032834935951457597	0.012273000840630544	0.0238453442179406	-0.0016938923546006013	-0.003291560133872218	0.2382047481469307	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260809_cal16_dep_e3_retry1
dep	low	20260809	probefisher	0.9522948896086667	0.9076903488668194	0.0032944995836526503	0.015250065941905588	0.029627695734162796	0.0012831727466744436	0.002490791382349977	0.5741946008575916	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260809_cal16_dep_e3_retry1
dep	boundary	20260806	uniform	0.9677406292274116	0.9376402528153501	0.004165898948076782	0.0	0.0	-0.004560171270147073	-0.008829530490411353	0.0	ptq_oa_w4a4_dualout8_boundaryrefine_w0p070_a0p350_fixedseed20260806_cal16_ms256_dep_e3_retry1
dep	boundary	20260806	probing	0.9723008004975586	0.9464697833057615	0.004231443333011376	0.004560171270147073	0.008829530490411353	0.0	0.0	1.5733551329864204	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_probing_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	boundary	20260806	fisher	0.9720075289505035	0.9458989212535566	0.004159902518871686	0.00426689972309191	0.00825866843820644	-0.0002932715470551628	-0.0005708620522049124	-0.14394082237315642	ptq_fisher_w4a4_out8_boundary_fisher_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	boundary	20260806	probefisher	0.9744629036033381	0.9506564240133317	0.004302476301802347	0.00672227437592654	0.013016171197981596	0.002162103105779467	0.004186640707570244	3.2784605538407785	ptq_fisher_w4a4_out8_boundary_probefisher_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	boundary	20260807	uniform	0.9693078842858618	0.9406671339628088	0.004029763350520038	0.0	0.0	-0.0007022216974272855	-0.001368091888619305	0.0	ptq_oa_w4a4_dualout8_boundaryrefine_w0p070_a0p350_fixedseed20260807_cal16_ms256_dep_e3_retry1
dep	boundary	20260807	probing	0.9700101059832891	0.9420352258514281	0.004067709337816371	0.0007022216974272855	0.001368091888619305	0.0	0.0	0.9416430692248179	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_probing_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
dep	boundary	20260807	fisher	0.970128001634364	0.9422546233370402	0.004072209748312438	0.0008201173485021807	0.0015874893742314766	0.00011789565107489519	0.00021939748561217165	1.053322344274199	ptq_fisher_w4a4_out8_boundary_fisher_bopfix2_fixedseed20260807_cal16_dep_e3_retry1
